2025-12-22T00:15:08+00:00 | short   | long=0.080591 short=0.919218 | tp=0.006545 sl=0.007681 | 1000SHIBUSDT m15 | bar=2025-12-22 00:00:00
2025-12-22T00:30:07+00:00 | unclear | long=0.106690 short=0.893093 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 00:15:00
2025-12-22T00:45:06+00:00 | short   | long=0.084425 short=0.915377 | tp=0.006530 sl=0.007662 | 1000SHIBUSDT m15 | bar=2025-12-22 00:30:00
2025-12-22T01:00:08+00:00 | unclear | long=0.262932 short=0.736749 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 00:45:00
2025-12-22T01:15:07+00:00 | unclear | long=0.247914 short=0.751778 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 01:00:00
2025-12-22T01:30:08+00:00 | unclear | long=0.203586 short=0.796135 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 01:15:00
2025-12-22T01:45:07+00:00 | unclear | long=0.195091 short=0.804630 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 01:30:00
2025-12-22T02:00:06+00:00 | unclear | long=0.318573 short=0.681077 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 01:45:00
2025-12-22T02:15:06+00:00 | unclear | long=0.684615 short=0.314917 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 02:00:00
2025-12-22T02:30:05+00:00 | unclear | long=0.556362 short=0.443194 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 02:15:00
2025-12-22T02:45:09+00:00 | unclear | long=0.363717 short=0.635917 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 02:30:00
2025-12-22T03:00:08+00:00 | unclear | long=0.344913 short=0.654733 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 02:45:00
2025-12-22T03:15:07+00:00 | unclear | long=0.326750 short=0.672906 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 03:00:00
2025-12-22T03:30:07+00:00 | unclear | long=0.263887 short=0.735804 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 03:15:00
2025-12-22T03:45:08+00:00 | unclear | long=0.322675 short=0.676982 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 03:30:00
2025-12-22T04:00:08+00:00 | unclear | long=0.408234 short=0.591378 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 03:45:00
2025-12-22T04:15:07+00:00 | unclear | long=0.286255 short=0.713410 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 04:00:00
2025-12-22T04:30:07+00:00 | unclear | long=0.135484 short=0.864279 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 04:15:00
2025-12-22T04:45:08+00:00 | unclear | long=0.162156 short=0.837585 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 04:30:00
2025-12-22T05:00:07+00:00 | unclear | long=0.201653 short=0.798057 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 04:45:00
2025-12-22T05:15:09+00:00 | unclear | long=0.253997 short=0.745680 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 05:00:00
2025-12-22T05:30:06+00:00 | unclear | long=0.207516 short=0.792193 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 05:15:00
2025-12-22T05:45:14+00:00 | unclear | long=0.157106 short=0.842638 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 05:30:00
2025-12-22T06:00:05+00:00 | unclear | long=0.150349 short=0.849403 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 05:45:00
2025-12-22T06:15:04+00:00 | unclear | long=0.223696 short=0.776008 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 06:00:00
2025-12-22T06:30:06+00:00 | unclear | long=0.296204 short=0.703458 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 06:15:00
2025-12-22T06:45:05+00:00 | unclear | long=0.189852 short=0.809871 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 06:30:00
2025-12-22T07:00:05+00:00 | unclear | long=0.239083 short=0.760603 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 06:45:00
2025-12-22T07:15:04+00:00 | unclear | long=0.181464 short=0.818262 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 07:00:00
2025-12-22T07:30:10+00:00 | unclear | long=0.265742 short=0.733930 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 07:15:00
2025-12-22T07:45:09+00:00 | unclear | long=0.110448 short=0.889332 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 07:30:00
2025-12-22T08:00:07+00:00 | unclear | long=0.110978 short=0.888800 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 07:45:00
2025-12-22T08:15:06+00:00 | unclear | long=0.193200 short=0.806516 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-22 08:00:00
