2025-12-23T00:15:09+00:00 | unclear | long=0.599978 short=0.399571 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-23 00:00:00
2025-12-23T00:30:08+00:00 | unclear | long=0.509723 short=0.489854 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-23 00:15:00
2025-12-23T00:45:10+00:00 | unclear | long=0.509895 short=0.489681 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-23 00:30:00
2025-12-23T01:00:08+00:00 | unclear | long=0.608482 short=0.391086 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-23 00:45:00
2025-12-23T01:15:09+00:00 | unclear | long=0.190017 short=0.809701 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-23 01:00:00
2025-12-23T01:30:10+00:00 | unclear | long=0.192761 short=0.806960 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-23 01:15:00
2025-12-23T01:45:19+00:00 | unclear | long=0.432494 short=0.567110 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-23 01:30:00
2025-12-23T02:00:03+00:00 | unclear | long=0.534569 short=0.464995 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-23 01:45:00
2025-12-23T02:15:08+00:00 | unclear | long=0.225147 short=0.774549 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-23 02:00:00
2025-12-23T02:30:06+00:00 | unclear | long=0.115256 short=0.884518 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-23 02:15:00
2025-12-23T02:45:09+00:00 | unclear | long=0.121569 short=0.878201 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-23 02:30:00
2025-12-23T03:00:09+00:00 | unclear | long=0.423513 short=0.576090 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-23 02:45:00
2025-12-23T03:15:08+00:00 | unclear | long=0.853104 short=0.146434 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-23 03:00:00
2025-12-23T03:30:04+00:00 | unclear | long=0.735653 short=0.263881 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2025-12-23 03:15:00
