2026-05-30T00:15:05+00:00 | unclear | long=0.312021 short=0.687632 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 00:00:00 close=0.005434
2026-05-30T00:30:06+00:00 | unclear | long=0.185816 short=0.813906 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 00:15:00 close=0.005439
2026-05-30T00:45:06+00:00 | unclear | long=0.192873 short=0.806844 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 00:30:00 close=0.005445
2026-05-30T01:00:07+00:00 | unclear | long=0.225213 short=0.774485 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 00:45:00 close=0.005457
2026-05-30T01:15:04+00:00 | unclear | long=0.282891 short=0.716769 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 01:00:00 close=0.005473
2026-05-30T01:30:04+00:00 | unclear | long=0.445736 short=0.553853 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 01:15:00 close=0.005490
2026-05-30T01:45:05+00:00 | unclear | long=0.866102 short=0.133427 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 01:30:00 close=0.005489
2026-05-30T02:00:07+00:00 | unclear | long=0.580407 short=0.419142 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 01:45:00 close=0.005503
2026-05-30T02:15:04+00:00 | unclear | long=0.511796 short=0.487770 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 02:00:00 close=0.005525
2026-05-30T02:30:06+00:00 | unclear | long=0.356770 short=0.642851 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 02:15:00 close=0.005520
2026-05-30T02:45:03+00:00 | unclear | long=0.276000 short=0.723663 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 02:30:00 close=0.005534
2026-05-30T03:00:06+00:00 | unclear | long=0.225461 short=0.774236 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 02:45:00 close=0.005536
2026-05-30T03:15:05+00:00 | unclear | long=0.560832 short=0.438725 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 03:00:00 close=0.005546
2026-05-30T03:30:03+00:00 | unclear | long=0.708736 short=0.290794 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 03:15:00 close=0.005515
2026-05-30T03:45:05+00:00 | unclear | long=0.686449 short=0.313078 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 03:30:00 close=0.005494
2026-05-30T04:00:05+00:00 | unclear | long=0.490943 short=0.508637 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 03:45:00 close=0.005502
2026-05-30T04:15:06+00:00 | unclear | long=0.417699 short=0.581899 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 04:00:00 close=0.005493
2026-05-30T04:30:04+00:00 | unclear | long=0.702093 short=0.297438 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 04:15:00 close=0.005450
2026-05-30T04:45:05+00:00 | unclear | long=0.606751 short=0.392790 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 04:30:00 close=0.005460
2026-05-30T05:00:07+00:00 | unclear | long=0.777252 short=0.222272 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 04:45:00 close=0.005468
2026-05-30T05:15:05+00:00 | unclear | long=0.717006 short=0.282521 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 05:00:00 close=0.005487
2026-05-30T05:30:04+00:00 | unclear | long=0.763677 short=0.235849 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 05:15:00 close=0.005476
2026-05-30T05:45:07+00:00 | unclear | long=0.702832 short=0.296698 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 05:30:00 close=0.005484
2026-05-30T06:00:06+00:00 | unclear | long=0.880415 short=0.119114 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 05:45:00 close=0.005501
2026-05-30T06:15:05+00:00 | unclear | long=0.870539 short=0.128991 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 06:00:00 close=0.005486
2026-05-30T06:30:06+00:00 | unclear | long=0.882392 short=0.117140 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 06:15:00 close=0.005501
2026-05-30T06:45:06+00:00 | long    | long=0.903164 short=0.096368 | tp=0.006197 sl=0.005280 | 1000SHIBUSDT m15 | bar=2026-05-30 06:30:00 close=0.005496
2026-05-30T07:00:07+00:00 | unclear | long=0.892100 short=0.107433 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 06:45:00 close=0.005490
2026-05-30T07:15:04+00:00 | unclear | long=0.828207 short=0.171315 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 07:00:00 close=0.005482
2026-05-30T07:30:05+00:00 | unclear | long=0.369565 short=0.630057 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 07:15:00 close=0.005490
2026-05-30T07:45:07+00:00 | unclear | long=0.381727 short=0.617894 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 07:30:00 close=0.005482
2026-05-30T08:00:06+00:00 | unclear | long=0.346361 short=0.653284 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 07:45:00 close=0.005496
2026-05-30T08:15:06+00:00 | unclear | long=0.321125 short=0.678533 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 08:00:00 close=0.005494
2026-05-30T08:30:05+00:00 | unclear | long=0.333857 short=0.665793 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 08:15:00 close=0.005490
2026-05-30T08:45:03+00:00 | unclear | long=0.339225 short=0.660422 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 08:30:00 close=0.005484
2026-05-30T09:00:06+00:00 | unclear | long=0.212557 short=0.787162 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 08:45:00 close=0.005481
2026-05-30T09:15:04+00:00 | unclear | long=0.159794 short=0.839949 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 09:00:00 close=0.005493
2026-05-30T09:30:08+00:00 | unclear | long=0.183663 short=0.816062 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 09:15:00 close=0.005495
2026-05-30T09:45:05+00:00 | unclear | long=0.265246 short=0.734428 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 09:30:00 close=0.005490
2026-05-30T10:00:05+00:00 | unclear | long=0.269586 short=0.730085 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 09:45:00 close=0.005494
2026-05-30T10:15:08+00:00 | unclear | long=0.242636 short=0.757051 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 10:00:00 close=0.005494
2026-05-30T10:30:04+00:00 | unclear | long=0.194045 short=0.805673 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 10:15:00 close=0.005490
2026-05-30T10:45:07+00:00 | unclear | long=0.221931 short=0.777768 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 10:30:00 close=0.005487
2026-05-30T11:00:06+00:00 | unclear | long=0.263879 short=0.735796 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 10:45:00 close=0.005483
2026-05-30T11:15:04+00:00 | unclear | long=0.251819 short=0.747865 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 11:00:00 close=0.005482
2026-05-30T11:30:07+00:00 | unclear | long=0.515894 short=0.483674 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 11:15:00 close=0.005475
2026-05-30T11:45:03+00:00 | unclear | long=0.813079 short=0.186453 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 11:30:00 close=0.005483
2026-05-30T12:00:06+00:00 | unclear | long=0.801361 short=0.198168 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 11:45:00 close=0.005480
2026-05-30T12:15:06+00:00 | unclear | long=0.309052 short=0.690597 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 12:00:00 close=0.005480
2026-05-30T12:30:07+00:00 | unclear | long=0.209491 short=0.790220 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 12:15:00 close=0.005484
2026-05-30T12:45:04+00:00 | unclear | long=0.159283 short=0.840459 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 12:30:00 close=0.005482
2026-05-30T13:00:06+00:00 | short   | long=0.096204 short=0.903585 | tp=0.004865 sl=0.005709 | 1000SHIBUSDT m15 | bar=2026-05-30 12:45:00 close=0.005485
2026-05-30T13:15:08+00:00 | unclear | long=0.130134 short=0.869626 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 13:00:00 close=0.005491
2026-05-30T13:30:06+00:00 | unclear | long=0.153948 short=0.845794 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 13:15:00 close=0.005492
2026-05-30T13:45:04+00:00 | unclear | long=0.125421 short=0.874346 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 13:30:00 close=0.005489
2026-05-30T14:00:06+00:00 | unclear | long=0.199608 short=0.800106 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 13:45:00 close=0.005500
2026-05-30T14:15:04+00:00 | unclear | long=0.173178 short=0.826553 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 14:00:00 close=0.005500
2026-05-30T14:30:03+00:00 | unclear | long=0.189759 short=0.809961 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 14:15:00 close=0.005510
2026-05-30T14:45:05+00:00 | unclear | long=0.232930 short=0.766761 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 14:30:00 close=0.005507
2026-05-30T15:00:08+00:00 | unclear | long=0.243490 short=0.756193 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 14:45:00 close=0.005509
2026-05-30T15:15:03+00:00 | unclear | long=0.265170 short=0.734502 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 15:00:00 close=0.005520
2026-05-30T15:30:06+00:00 | unclear | long=0.301206 short=0.698447 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 15:15:00 close=0.005517
2026-05-30T15:45:05+00:00 | unclear | long=0.327159 short=0.672482 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 15:30:00 close=0.005512
2026-05-30T16:00:06+00:00 | unclear | long=0.412887 short=0.586721 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 15:45:00 close=0.005514
2026-05-30T16:15:06+00:00 | unclear | long=0.361444 short=0.638187 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 16:00:00 close=0.005529
2026-05-30T16:30:05+00:00 | unclear | long=0.405511 short=0.594101 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 16:15:00 close=0.005522
2026-05-30T16:45:05+00:00 | unclear | long=0.256216 short=0.743465 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 16:30:00 close=0.005532
2026-05-30T17:00:06+00:00 | unclear | long=0.401085 short=0.598527 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 16:45:00 close=0.005543
2026-05-30T17:15:07+00:00 | unclear | long=0.404169 short=0.595442 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 17:00:00 close=0.005534
2026-05-30T17:30:05+00:00 | unclear | long=0.638063 short=0.361481 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 17:15:00 close=0.005523
2026-05-30T17:45:06+00:00 | unclear | long=0.586878 short=0.412674 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 17:30:00 close=0.005519
2026-05-30T18:00:08+00:00 | unclear | long=0.628697 short=0.370847 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 17:45:00 close=0.005536
2026-05-30T18:15:05+00:00 | unclear | long=0.624216 short=0.375331 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 18:00:00 close=0.005528
2026-05-30T18:30:07+00:00 | unclear | long=0.383228 short=0.616401 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-30 18:15:00 close=0.005524
