2026-09-26T00:15:06+00:00 | unclear | long=0.619467 short=0.380533 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 00:00:00 close=0.005963
2026-09-26T00:30:06+00:00 | unclear | long=0.713305 short=0.286695 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 00:15:00 close=0.005965
2026-09-26T00:45:06+00:00 | unclear | long=0.785852 short=0.214148 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 00:30:00 close=0.005937
2026-09-26T01:00:06+00:00 | unclear | long=0.803590 short=0.196410 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 00:45:00 close=0.005947
2026-09-26T01:15:07+00:00 | unclear | long=0.727859 short=0.272141 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 01:00:00 close=0.005942
2026-09-26T01:30:06+00:00 | unclear | long=0.778066 short=0.221934 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 01:15:00 close=0.005957
2026-09-26T01:45:05+00:00 | unclear | long=0.734832 short=0.265168 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 01:30:00 close=0.006002
2026-09-26T02:00:08+00:00 | unclear | long=0.639845 short=0.360155 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 01:45:00 close=0.005995
2026-09-26T02:15:06+00:00 | unclear | long=0.761518 short=0.238482 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 02:00:00 close=0.006002
2026-09-26T02:30:06+00:00 | unclear | long=0.761243 short=0.238757 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 02:15:00 close=0.005985
2026-09-26T02:45:05+00:00 | unclear | long=0.682517 short=0.317483 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 02:30:00 close=0.005969
2026-09-26T03:00:06+00:00 | unclear | long=0.620711 short=0.379289 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 02:45:00 close=0.005964
2026-09-26T03:15:06+00:00 | unclear | long=0.554617 short=0.445383 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 03:00:00 close=0.005931
2026-09-26T03:30:07+00:00 | unclear | long=0.543550 short=0.456450 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 03:15:00 close=0.005951
2026-09-26T03:45:06+00:00 | unclear | long=0.487023 short=0.512977 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 03:30:00 close=0.005927
2026-09-26T04:00:07+00:00 | unclear | long=0.457104 short=0.542896 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 03:45:00 close=0.005924
2026-09-26T04:15:08+00:00 | unclear | long=0.419185 short=0.580815 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 04:00:00 close=0.005941
2026-09-26T04:30:07+00:00 | unclear | long=0.465075 short=0.534925 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 04:15:00 close=0.005907
2026-09-26T04:45:07+00:00 | unclear | long=0.504687 short=0.495313 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 04:30:00 close=0.005913
2026-09-26T05:00:10+00:00 | unclear | long=0.385138 short=0.614862 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 04:45:00 close=0.005918
2026-09-26T05:15:06+00:00 | unclear | long=0.392766 short=0.607234 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 05:00:00 close=0.005903
2026-09-26T05:30:07+00:00 | unclear | long=0.387685 short=0.612315 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 05:15:00 close=0.005894
2026-09-26T05:45:07+00:00 | unclear | long=0.441705 short=0.558295 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 05:30:00 close=0.005905
2026-09-26T06:00:09+00:00 | unclear | long=0.439592 short=0.560408 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 05:45:00 close=0.005894
2026-09-26T06:15:06+00:00 | unclear | long=0.450379 short=0.549621 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 06:00:00 close=0.005891
2026-09-26T06:30:08+00:00 | unclear | long=0.464427 short=0.535573 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 06:15:00 close=0.005898
2026-09-26T06:45:06+00:00 | unclear | long=0.503479 short=0.496521 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 06:30:00 close=0.005912
2026-09-26T07:00:06+00:00 | unclear | long=0.498418 short=0.501582 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 06:45:00 close=0.005899
2026-09-26T07:15:04+00:00 | unclear | long=0.538041 short=0.461959 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 07:00:00 close=0.005919
2026-09-26T07:30:06+00:00 | unclear | long=0.473151 short=0.526849 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-09-26 07:15:00 close=0.005922
